Phylum	Class	Order	Family	Genus	species	Common name	NCBI taxon ID	Genome accession #	Bioproject #	DOI of manuscript 	Submission date	Number of genomes for the species	Assembled length	Contig N50	Estimated genome size	Sequencing coverage	Assembler	Sequencing technology	Read length	BUSCO % complete (combined) 	BUSCO % complete and singly copy 	BUSCO  % complete and duplicated 	BUSCO  % fragmented 	BUSCO  % missing 	Chromosome number 	Ploidy number	Submitting institution 	Country of submission	Continent of submission	Domestication status
Tracheophyta	Magnoliopsida	Cornales	Nyssaceae	Camptotheca	acuminata					doi: 10.1093/gigascience/gix065	01/09/17	1	403174860	108000	516000000		AllPaths v. ALLPATHS-LG-44837	Illumina	short								Michigan State University	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Cornales	Nyssaceae	Davidia	involucrata	dove tree				https://doi.org/10.1111/1755-0998.13138	22/01/20	1	1169000000	42554				PacBio 	long 									China	Asia	Wild
Tracheophyta	Magnoliopsida	Cornales	Nyssaceae	Nyssa	sinensis		561372	GCA_008638375.1	PRJNA552378		24/09/19	1	1001447681	3599157	734598711	99,12	FALCON v. 3.1	PacBio Sequel	long	89,7	84,7	5	3,3	7			Nyssa sinensis			Wild
Tracheophyta	Magnoliopsida	Cornales	Nyssaceae	Nyssa	yunnanensis					https://doi.org/10.46471/gigabyte.4	01/08/20		1474960449	32329	1640000000		Supernova v2.0.0	Illumina?	short								BGI-Shenzhen	China	Asia	Wild
Tracheophyta	Magnoliopsida	Cucurbitales	Begoniaceae	Begonia	fuchsioides		200001	GCA_003255005.1	PRJNA374770	DOI: 10.1126/science.aat1743	19/06/18	1	373914052	54470	117849966	189	Platanus v. 1	Illumina HiSeq	short	94,6	69,8	24,8	1,8	3,6			BGI	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Benincasa	hispida	ash gourd	102211	GCA_009727055.1	PRJNA430006	https://doi.org/10.1038/s41467-019-13185-3	03/12/19	2	912951219	144985	259168232	50	AllPaths v. ALLPATHS-LG-44837	Illumina	short	93,2	92,4	0,8	1,5	5,3	24	2	Chinese Academy of Agricultural Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Citrullus	lanatus	wild melon	3654	GCA_000238415.2	PRJNA72695		23/09/19	2	365450462	2312425	103293044	73,2	FALCON v. 1.8.7	PacBio	long	95,9	94,4	1,5	0,9	3,2			National Engineering Research Center for Vegetables, Beijing Academy of Agriculture and Forestry Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	melo		3656	GCA_011762645.1	PRJNA603125		01/04/20	8	373882778	8252323	105873864	73	"Canu v. 1.8; Irys solve v. 3.2; Sspace v. 3.0"	"Oxford Nanopore MinION; Bionano Irys; Illumina Hiseq paired-end; Illumina Hiseq mate pair; PacBio RSII"	long	96,1	95,3	0,8	9,00E-01	3	24	2	National Agriculture and Food Research Organization	Japan	Asia	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	sativus		3659	GCA_000004075.3	PRJNA33619	DOI: 10.1093/gigascience/giz072 	15/11/19	15	224801081	8937712	179625822	50	"Celera Assembler v. 1.8; FALCON v. 0.3"	"PacBio RSII; PacBio Sequel; 10X Genomics; Hi-C; Illumina"	long	95,5	93,9	1,6	1,4	3,1	14	2	The Cucumber Genome Initiative	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	argyrosperma		1094858	GCA_004115005.1	PRJNA485527	DOI: 10.1016/j.molp.2018.12.023 	30/01/19	1	228814150	455795	217892280	150	DBG2OLC v. 1.0	"Illumina HiSeq; Illumina MiSeq; PacBio RSII"	long	93,7	79,6	14,1	1,9	4,4	40	2	Instituto de Ecologia, UNAM	Mexico	North America	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	maxima	winter squash	3661	GCA_002738345.1	PRJNA385310	DOI:https://doi.org/10.1016/j.molp.2017.09.003	31/10/17	2	271413401	62207	79578356	282,7	SOAPdenovo v. 2.04	Illumina HiSeq	short	96,7	83,1	13,6	0,9	2,4	40		Cornell University	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	moschata	crookneck pumpkin	3662	GCA_002738365.1	PRJNA385310	DOI:https://doi.org/10.1016/j.molp.2017.09.004	31/10/17	2	269943085	48191	80619826	215,5	SOAPdenovo v. 2.04	Illumina HiSeq	short	96,9	81,8	15,1	0,5	2,6	40	4	Cornell University	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	pepo	vegetable marrow	3664	GCA_002806865.2	PRJNA386743	 https://doi.org/10.1111/pbi.12860	07/12/17	2	260450962	108556	70109474	198	"SOAPdenovo v. r240; BreakScaffolds v. git; SSPADE v. 3.0"	Illumina HiSeq	short	96,2	79,8	16,4	1,2	2,6	40	4	Comav-UPV	Spain	Europe	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Lagenaria	siceraria	white-flowered gourd	3668	GCA_002890555.2	PRJNA335916	https://doi.org/10.1038/s41598-018-22007-3	26/04/19	3	297879142	11208824	84999473	77	HERA v. 1.0	PacBio Sequel	long	94,9	93,8	1,1	2,2	2,9	22	2	Zhejiang Academy of Agricultural Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Luffa	acutangula	angled luffa	56866	GCA_012295215.1	PRJNA614596		15/04/20	1	735530355	110403	204186619	47,5	Dovetail HiRise v. AUGUST-2019	PacBio RSII	long	94,1	92,9	1,2	2,4	3,5			National Center for Genetic Engineering and Biotechnology (BIOTEC)	Thailand	Asia	Cultivated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Luffa	aegyptiaca	smooth loofah	3670	GCA_016170045.1	PRJNA549091		21/12/20	2	669701900	4815853	203510693	101	Canu v. 1.7	PacBio Sequel	long	95,6	93,2	2,4	1,4	3			Henan Agricultural University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Luffa	cylindrica					https://doi.org/10.1038/s41438-020-00350-9	01/08/20		656189986	8800239	720330000		FALCON	PacBio and Illumina	long 								Guangdong Academy of Agricultural Sciences	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Momordica	charantia	bitter melon	3673	GCA_013281855.1	PRJDB4642	DOI: 10.1093/dnares/dsw047 	03/06/20	4	302992168	9902508	87608851	84	"Canu v. 1.7; ALLMAPS"	"PacBio Sequel; HiSeq2500"	long	95,4	93	2,4	1,6	3	22	2	Division of Gene Research, Research Center for Human and Environmental Science, Shinshu University	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Siraitia	grosvenorii					 doi:10.1093/gigascience/giy067	07/06/18	1	469500000	432384	420000000	74	FALCON	PacBio RSII	long								Peking University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Trichosanthes	anguina					 https://doi.org/10.1038/s41438-020-00423-9	01/12/20		919800000	82120000	1030000000		Canu, Racon, Pilon 	Illumina and Nanopore	long 								Multiple 	USA China and UK 	Multiple-Europe, Asia, and North America	Cultivated
Tracheophyta	Magnoliopsida	Cucurbitales	Datiscaceae	Datisca	glomerata		34297	GCA_003255025.1	PRJNA374770		19/06/18	1	688404099	314514	218954210	262	Platanus v. 1	Illumina HiSeq	short	96,5	95,4	1,1	1	2,5			BGI	China	Asia	Wild
Tracheophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	alata	greater yam	55571	GCA_002904275.2	PRJEB10904	doi: https://doi.org/10.1101/2021.04.14.439117	18/10/15	1	620909442	17022	198315527				short	83,4	69,1	14,3	8,6	8	40	4	TGAC	United Kingdom	Europe	Domesticated
Tracheophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	cayenensis	eboe yam	55577	GCA_009730915.1	PRJDB8681		25/11/19	5	584153202	139725	166518500	34	"flye v. 2.4.2; pilon v. 1.23; Purge Haplotigs v. 1.0.4; MSTmap"	Nanopore PromethION	long	92	89,1	2,9	3,3	4,7	60	6	Genetics and Breeding, Iwate Biotechnology Research Center	Japan	Asia	Wild relative
Tracheophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	dumetorum	bitter yam	167584	GCA_902712375.1	PRJEB35039		10/02/20	1	485115345	3190870	150505720	100			long	94,7	49,9	44,8	1,7	3,6		2	CENTER FOR BIOTECHNOLOGY, BIELEFELD UNIVERSITY	Germany	Europe	Wild relative
Tracheophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	rotundata	white Guinea yam 				https://doi.org/10.1186/s12915-017-0419-x	19/09/17		594000000		570000000		 ALLPATHS-LG 	BAC	short								nternational Institute of Tropical Agriculture and Iwate Biotechnology Research Center	Nigeria, Japan, and UK	Multiple-Africa, Asia, and Europe	Cultivated
Tracheophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	sansibarensis		55578	GCA_900631875.1	PRJEB30106		19/06/19	1	128321	33529	41389	25			short	0	0	0	0	100			GHENT UNIVERSITY	Belgium	Europe	Wild relative
Tracheophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	zingiberensis		325984	GCA_014060945.1	PRJNA541739		04/08/20	1	479421176	133278	148936940	393	Novoheter v. 2.0	"Illumina HiSeq; PacBio SMRT"	long	94,1	91,9	2,2	1,9	4			Chinese Academy of Sciences	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Trichopus	zeylanicus		459581	GCA_005019695.1	PRJNA484861		01/05/19	1	713406926	288821	205718225	83	MaSuRCA v. 3.2.3	"Illumina HiSeq; PacBio Sequel"	long	94,5	80,9	13,6	1,9	3,6			SIUCEB			Natural commodity
Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Lonicera	japonica					 https://doi.org/10.1111/nph.16552	18/03/20		843200000															China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	eriantha		165200	GCA_004150315.1	PRJNA480681		08/02/19	1	689867039	539296	201174998	51,6	"Canu v. 1.7; wtdbg v. 1; Quickmerge v. 0.2"	PacBio	long	85,4	75,5	9,9	6,6	8		6	Cornell University	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	rufa	nashi-kazura	165716	GCA_014362265.1	PRJDB8483		20/08/20	1	647239177	570472	495040232	270	"Platanus v. 1.2.4; DBG2OLC(last update: Jun 11, 2015.); Medusa v. 1.6"	"PacBio RSII; illumina HiseqX"	long	89	71,5	17,5	5,1	5,9			Kagawa University	Japan	Asia	Wild relative
Tracheophyta	Magnoliopsida	Ericales	Clethraceae	Clethra	arborea					 https://doi.org/10.1186/s13104-020-05254-4	10/09/20		511000000	67174	550000000		Supernova	Illumina HiSeq	short								University of Potsdam	Germany	Europe	Cultivated
Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	lotus	date-plum	55363	GCA_014633355.1	PRJNA646788		18/09/20	2	617726390	2985819	174522047	103	Canu v. 1.5	PacBio Sequel	long	90,5	88,8	1,7	3,5	6			BEIJING ACADEMY OF FORESTRY AND POMOLOGY SCIENCES	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	oleifera	persimmon				doi: 10.1093/gigascience/giz164	01/01/20	2	812300000	3360000	868410000	360	FALCON, Pilon 	PacBio and Illumina	long 								Chinese Academy of Forestry	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arbutus	unedo	strawberry tree	84005	GCA_014822125.1	PRJNA625056		30/09/20	1	452681481	6250	145610096	64	CLC Genomics Workbench v. 12.0.3	Illumina HiSeq	short	62,6	61,6	1	17,9	19,5			University of Algarve	Portugal	Europe	Cultivated
Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Monotropa	hypopitys	false beech-drops	176248	GCA_002855965.1	PRJNA310692		03/01/18	1	2197487858	2546	740196480	20	Newbler v. 2.9	Illumina HiSeq	short	19,8	18,9	0,9	25,1	55,1			Institute of Bioengineering, Research Center of Biotechnology of RAS	Russia	Asia	Wild
Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	delavayi					https://doi.org/10.1093/gigascience/gix076	26/08/17		695090000	61800	697940000	482	Platanus  	Illumina HiSeq	short								 Yunnan Academy of Agricultural Sciences	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	simsii		118357	GCA_014282245.1	PRJNA588298		24/08/20	1	527682226	2274689	405761675	100	SMARTDENOVO v. 1.0	PacBio Sequel	long	93,7	88,4	5,3	1,9	4,4			Ori-Gene Co. Ltd.	USA	North America	Wild
Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	williamsianum		262921	GCA_009746105.1	PRJNA432092		13/12/19	1	532293122	14262	305277060	382	"AllPaths v. JAN-2013; fragScaff v. FEB-2014; JoinMap v. 4.1; Lachesis v. JAN -2015"	Illumina HiSeq	short	87,2	85,3	1,9	5	7,8			University of Washington	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	corymbosum	American blueberry	69266	GCA_014504835.1	PRJNA638649	https://doi.org/10.1093/gigascience/giz012	09/09/20	1	393128050	3558	192341132	40	Newbler v. 2.3	454	short	74,3	72,6	1,7	11,5	14,2	24	2	USDA	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	macrocarpon	Vaccinium macrocarpon cultivar:Ben Lear (CNJ99-125-1 inbred clone) Genome sequencing and assembly	13750	GCA_000775335.2	PRJNA245813	https://doi.org/10.1186/1471-2229-14-165	04/09/14	1	402340004	4194	410320947	20	CLC NGS Cell v. CLC Genomic Workbench v6.5.1	Illumina GAIIx	short	53,6	51,9	1,7	25,9	20,5			rutgers university	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Embelia	ribes		459629	GCA_001753735.1	PRJNA343859		06/10/16	1	660509584	8255	212417201	200	CLC NGS Cell v. 9	Illumina NextSeq 500	short	52,4	27,9	24,5	16,7	30,9			Transdisciplinary University	India	Asia	Wild
Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Primula	veris	cowslip	170927	GCA_000788445.1	PRJNA238546		03/12/14	1	309692940	13157	88828852	116	AllPaths v. 48579	"Illumina HiSeq; Illumina MiSeq; PacBio"	long	82,5	81,4	1,1	6,3	11,2	22	2	University of Zurich	Switzerland	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Primula	vulgaris		175104	GCA_001077355.1	PRJEB7311		29/01/15	1	1504784	16250	459743				short	0,3	0,3	0	0,1	99,6	22	2	TGAC	United Kingdom	Europe	Wild
Tracheophyta	Magnoliopsida	Ericales	Roridulaceae	Roridula	gorgonias					 https://doi.org/10.1186/s13104-020-05254-4	10/09/20		284000000	46982	186000000		Supernova	Illumina HiSeq	short								University of Potsdam	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Argania	spinosa		85884	GCA_003260245.1	PRJNA294096		22/06/18	1	670096797	43178	210643541	120	MaSuRCA v. 2018	Illumina	short	85,9	81,3	4,6	7,7	6,4			IRIDIAN GENOMES	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Ericales	Theaceae	Camellia	sinensis	black tea	4442	GCA_013676235.1	PRJNA643357		24/07/20	3	3113463150	2589771	2170210686	116	FALCON v. MAY-2019	PacBio	long	86,2	80,5	5,7	4,5	9,3	30	2	Huazhong Agricultural University	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Abrus	precatorius	Indian licorice	3816	GCA_003935025.1	PRJNA482671		11/12/18	2	347230236	11837218	107583164	140	FALCON v. 2018	PacBio RSII	long	96,5	93,8	2,7	1	2,5			Los Alamos National Laboratory	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	evenia		561484	GCA_013621005.1	PRJNA448804		24/07/20	1	375512268	819200	101338153	78	"HGAP v. 2016; FALCON v. 2016"	"PacBio; Illumina"	long	96,1	92,6	3,5	1,4	2,5			Laboratoire des Symbioses Tropicales et Mediterraneennes (LSTM)	France	Europe	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ammopiptanthus	nanus					doi:10.1093/gigascience/giy074	28/06/18	1	823740000	2760000	889000000	73	Canu 	PacBio	long								Minzu University of China	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Amphicarpaea	edgeworthii	Chinese hog-peanut	132429	GCA_014843725.1	PRJNA644665		05/10/20	1	299059313	9697753	85404497	286	"Smartdenovo v. Feb-2018; 3D-DNA v. Aug-2019"	"BGISeq-500; Oxford Nanopore GridION"	long	97,4	93,6	3,8	0,8	1,8			BGI	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Arachis	duranensis		130453	GCA_014805325.1	PRJNA610423		28/09/20	4	1106325876	1014563	303021389	30	"Canu v. 1.9; RaGOO v. 1.1; Pilon v. 2019"	"PacBio Sequel; Illumina HiSeq"	long	95,6	88,7	6,9	0,8	3,6	20	2	Peanut Genome Initiative	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Arachis	hypogaea	peanut	3818	GCA_016103905.1	PRJNA680825	https://doi.org/10.1038/s41588-019-0405-z	16/12/20	5	2490838411	9813388	694961126	102,98	Canu v. 1.5	Oxford Nanopore	long	96,6	25,5	71,1	0,7	2,7	40	4	BGI-Qingdao	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Arachis	ipaensis		130454	GCA_000816755.2	PRJNA258025		25/04/17	2	1353504219	24488	355721165	100	SOAPdenovo v. 2.04	Illumina	short	92,2	85	7,2	2	5,8	20	2	Iowa State University	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Arachis	monticola		227691	GCA_003063285.2	PRJNA430760		27/04/18	1	2618653824	140231	657282195	197,1	"AllPaths v. SCR_010742; Celera Assembler v. 1.5; Falcon v. falcon-kit 0.7; WTDBG v. 1.0; IrysView package v. 2.5.1; LACHESIS v. Dec-2017"	"PacBio; Illumina; BioNano optical"	long	94,2	44,1	50,1	1	4,8	40	4	Henan Agricultural University	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Arachis	stenosperma		217475	GCA_014773155.1	PRJNA610652		28/09/20	1	1328990366	1268048	339801730	58	"Mecat v. 1.0; BioNano scaffolding v. 2019; Allmaps scaffolding v. 0.8.4"	"PacBio Sequel; Illumina HiSeq"	long	95,1	89,2	5,9	7,00E-01	4,2	20	2	Peanut Genome Initiative	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cajanus	cajan	pigeon pea	3821	GCA_000340665.1	PRJNA72815	 https://doi.org/10.1038/nbt.2022	30/03/16	4	592816859	22476	451456670	160	SOAPdenovo v. 1.05	Illumina Hiseq2000	short	93,6	90,6	3	2,7	3,7	22	2	BGI	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cercis	canadensis		49801	GCA_003255065.1	PRJNA374770		19/06/18	1	329325136	87734	96418279	1135	Platanus v. 1	Illumina HiSeq	short	96,7	94,3	2,4	1,4	1,9			BGI	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Chamaecrista	fasciculata	golden cassia	53854	GCA_003254925.1	PRJNA374770		19/06/18	1	429102545	27842	132195138	692	Platanus v. 1	Illumina HiSeq	short	95,9	91,4	4,5	1,8	2,3			BGI	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cicer	arietinum	chickpea	3827	GCA_002896005.2	PRJNA418058		27/03/19	6	653867463	215990	199381244	230	"MaSuRCA v. 3.2.1; Canu v. 1.5; Miniasm v. 2; FALCON-Phase v. 2"	"PacBio RSII; Illumina HiSeq"	long	95	90,7	4,3	2,2	2,8	16	2	Cook Lab - University of California at Davis	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cicer	echinospermum		90897	GCA_002896215.2	PRJNA418060		27/03/19	1	657413940	274103	199597303	125	"MaSuRCA v. 3.2.1; Canu v. 1.5; Miniasm v. 2; FALCON-Phase v. 2"	"PacBio RSII; Illumina HiSeq"	long	95	92,6	2,4	1,5	3,5	16	2	Cook Lab - University of California at Davis	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cicer	reticulatum		90898	GCA_002896235.1	PRJNA418059		23/01/18	2	715406915	109263	214934488	160	"MaSuRCA v. 3.2.1; Canu v. 1.5; Miniasm v. 2; Pilon v. 1.22"	"PacBio; Illumina HiSeq"	long	96,5	92,5	4	1,3	2,2	16	2	Cook Lab - University of California at Davis	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dalbergia	odorifera					doi:10.1093/gigascience/giaa084	18/09/20	1	638260000	5920000	653450000	637	Falcon 	PacBio, Illumina	long								 Research Institute of Tropical Forestry	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	alata		54988	GCA_012978445.1	PRJNA590649		06/05/20	1	358393232	1593	118502521	12,78	Dipspades v. 1.0	Illumina MiSeq	short	11,8	11,6	0,2	28	60,2			Universidade Federal de Goias	Brazil	South America	Natural commodity
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Eperua	falcata		162769	GCA_900006205.1	PRJEB9879		29/02/20	1	252364908	1111	85117507	58			short	20,8	20	0,8	33	46,2			INRA Avignon	France	Europe	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Faidherbia	albida					 doi:10.1093/gigascience/giy152	16/10/18	1	654000000	42029				Illumina HiSeq	short 								 BGI-Shenzhen	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	latifolia		45691	GCA_013407115.1	PRJNA412250		13/07/20	1	939492075	53370	256523632	69	Supernova v. 1.1.5	Illumina HiSeq	short	95,5	50,5	45	1,5	3	40	2	United States Department of Agriculture	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	max	soybean	3847	GCA_003349995.2	PRJNA475162	DOI: 10.1007/s11427-019-9822-2 	21/02/20	14	1010712318	17978897	279019217	290	"Canu v. 1.7.1; Bionano Solve v. Nov-2018; HERA v. Jau-2019; Juicer v. 1.5; 3D-DNA v. 180114"	"PacBio; Illumina; Bionano"	long	96,2	47,1	49,1	0,7	3,1	40	2	Institute of Genetics and Developmental Biology , Chinese Academy of Science	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	soja	wild soybean	3848	GCA_004193775.2	PRJNA486704		21/02/19	5	1013211804	3331191	762965890	77	MECAT v. Aug-2017	"PacBio RSII; Illumina HiSeq"	long	96	46,2	49,8	0,8	3,2	40	2	The Chinese University of Hong Kong	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	tomentella	wooly glycine	44015	GCA_007407185.1	PRJNA437717		24/07/19	1	1694090375	22464	535660076	77,5	DISCOVAR v. 52488	Illumina HiSeq	short	95,7	13,4	82,3	0,6	3,7	40	2	United States Department of Agriculture	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Glygyrrhiza	uralensis	liquorice				https://doi.org/10.1111/tpj.13385	24/10/16		379000000		400000000	817	ALLPATHS_LG	PacBio and Illumina	long								Chiba University,	Japan	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lablab	purpureus	hyachinth bean 				 doi:10.1093/gigascience/giy152	16/10/18	1	395472305	32223				Illumina HiSeq	short 								 BGI-Shenzhen	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	japonicus		34305	GCA_000181115.2	PRJDA28941		04/09/15	1	394454697	25054	125296744	35	"SOAPdenovo v. 1.04; GapCloser v. 1.10; PCAP.rep"		short	86,4	74,6	11,8	7,1	6,5	12	2	Kazusa DNA Research Institute	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	albus		3870	GCA_009771035.1	PRJNA575804		20/12/19	2	449991378	8734267	344764761	372	"CANU v. 1.6; FALCON v. 0.7.3; Bionano-Solve v. 3.1; allmaps v. NOVEMBER-2017"	"Illumina HiSeq; PacBio Sequel; BioNano Genomics Iris"	long	96,2	83,7	12,5	1,3	2,5			White lupin genome	France	Europe	Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	angustifolius	narrow-leaved blue lupine	3871	GCA_002285895.2	PRJNA398717		27/09/17	4	557908961	52993	3437712560	245	SOAPdenovo v. 1	Illumina HiSeq	short	94,3	81,5	12,8	9,00E-01	4,8	40	2	Department of Agricultural and Food			Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	polymorpha					https://doi.org/10.1038/s41438-021-00483-5	12/12/20		457530000	11020000	505190000		FALCON	PacBio and Illumina	long								Yangzhou University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	sativa					https://doi.org/10.1038/s41438-020-00417-7	01/12/20		793200000	3860000	802000000		NextGraph	Illumina, Oxford Nanopore									Lanzhou University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	truncatula	barrel medic	3880	GCA_003473485.2	PRJNA431767		12/09/18	7	429612362	23305320	339872423	109	"CANU v. 1.3; PBcR v. wqs-8.3rc1; FALCON v. 0.7"		long	96,8	93,1	3,7	1,3	1,9	16	2	INRA/CNRS	France	Europe	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	pudica	sensitive-plant	76306	GCA_003254945.1	PRJNA374770		19/06/18	1	557202335	27447	170417329	413	Platanus v. 1	Illumina HiSeq	short	95,4	74,3	21,1	1,8	2,8	52	4	BGI	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mucuna	pruriens		157652	GCA_003370565.1	PRJNA414658		10/08/18	1	397042285	27379	356906070	2	CLC NGS Cell v. 10	Illumina HiSeq	short	91,1	88,8	2,3	4,5	4,4			African Centre of excellence in Phytomedicine Resaerch	Nigeria	Africa	Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Nissolia	schottii		105944	GCA_003254905.1	PRJNA374770		19/06/18	1	466098644	38598	148562331	664	Platanus v. 1	Illumina HiSeq	short	95,7	92,4	3,3	1,4	2,9			BGI	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus	coccineus	Phaseolus coccineus subsp. coccineus	412098	GCA_003122825.1	PRJNA448610		14/05/18	1	370704989	7249	364967805	100	ABySS v. 1.3.4	Illumina HiSeq	short	78,8	77	1,8	10,6	10,6	22	2	University of California, Los Angeles	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus	lunatus	lima bean	3884	GCA_013389735.1	PRJNA596114	https://doi.org/10.1038/s41467-021-20921-1	06/07/20	1	545376289	4962006	149964932	147,9	Canu v. 1.6	"PacBio Sequel; Illumina HiSeq"	long	96,9	93,8	3,1	1,1	2	22	2	Universidad de los Andes	Colombia	South America	Domesticated
