Phylum	Class	Order	Family	Species	N_genomes	BUSCO	genome_size	technology	Ploidy
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Medicago truncatula	8	99.31	386.46	NA	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa pudica	1	95.4	170.42	Illumina HiSeq	4
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Mucuna pruriens	1	91.1	376.29	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Nissolia schottii	1	95.7	148.56	Illumina HiSeq	NA
NA	NA	NA	NA	Phaseolus coccineus	NA	78.8	NA	NA	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus lunatus	2	96.9	348.68	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus vulgaris	6	96.3	396.03	ABI 3730; Roche 454 FLX; Illumina GAII	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Pisum sativum	3	90.9	1430.45	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis alba	2	95.7	627.24	PacBio	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Senna tora	1	96.3	413.67	PacBio RSII; PacBio Sequel	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Spatholobus suberectus	1	95.6	597.47	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium medium	1	3.2	785.15	Illumina HiSeq	10
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium occidentale	1	93.7	113.56	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium pratense	5	99.07	379.06	PacBio Sequel	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium repens	1	94.1	220.9	Illumina HiSeq	4
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium subterraneum	2	95.6	356.55	HiSeq1000; Hiseq2000; Miseq; Roche454	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia collinsii	1	84.1	142.84	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia faba	1	89.8	18.03	NA	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna angularis	6	98.84	395.22	Illumina HiSeq 2000	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna mungo	3	95.1	133.33	10x genomics sequencing technology	NA
NA	NA	NA	NA	Vigna radiata	NA	96	NA	NA	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna unguiculata	4	98.6	431.39	PacBio; Bionano	NA
Streptophyta	Magnoliopsida	Fabales	Quillajaceae	Quillaja saponaria	1	56.6	160.65	Illumina	NA
Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus glutinosa	1	79.4	182.36	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula nana	1	75.7	174.1	NA	2
Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula pendula	1	95.3	404.89	NA	NA
Streptophyta	Magnoliopsida	Fagales	Betulaceae	Carpinus fangiana	1	93.8	292.84	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Fagales	Betulaceae	Corylus heterophylla	2	91	106.83	PacBio Sequel	NA
NA	NA	NA	NA	Casuarina equisetifolia	NA	95.6	NA	NA	NA
Streptophyta	Magnoliopsida	Fagales	Casuarinaceae	Casuarina glauca	1	96.4	86.67	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fagales	Fagaceae	Castanea mollissima	2	89	587.55	Illumina; 454; PacBio	NA
Streptophyta	Magnoliopsida	Fagales	Fagaceae	Fagus crenata	1	89.5	236.87	illumina Novaseq6000	NA
Streptophyta	Magnoliopsida	Fagales	Fagaceae	Fagus sylvatica	2	85.9	147.71	NA	2
Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus lobata	3	98.32	678.93	Illumina HiSeq; PacBio; Dovetail	NA
Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus mongolica	1	92.4	226.22	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus robur	3	89.4	230.77	NA	2
Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus suber	3	96.82	806.57	Illumina	2
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Carya cathayensis	1	95.6	218.67	Illumina HiSeq PacBio	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Carya illinoinensis	8	99.1	563.05	PacBio Sequel2	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans cathayensis	1	82.9	178.98	Illumina	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans hindsii	1	92.7	183.49	Illumina	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans mandshurica	2	96	154.19	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans microcarpa	1	95	277.2	Illumina	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans nigra	2	93.9	188.55	Illumina	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans regia	5	99.27	497.34	Illumina HiSeq; Oxford Nanopore MinION; Illumina NovaSeq	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans sigillata	1	91.6	194.69	Illumina	NA
Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Pterocarya stenoptera	2	90.2	289.74	Illumina	NA
Streptophyta	Magnoliopsida	Fagales	Myricaceae	Morella rubra	1	89.3	255.16	Illumina; PacBio	NA
Streptophyta	Magnoliopsida	Garryales	Eucommiaceae	Eucommia ulmoides	1	NA	268.82	Illumina; PacBio Sequel; Hi-C	2
Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias syriaca	1	76.9	76.38	Illumina GAII; Illumina MiSeq; Illumina HiSeq	2
Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Calotropis procera	1	82.5	42.88	Illumina	NA
Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus roseus	1	80.8	168.41	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Rhazya stricta	1	95.3	82.75	PacBio RS	NA
Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Coffea arabica	2	97.21	871.61	Illumina HiSeq; PacBio RSII; 10x GemCode	NA
Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Coffea canephora	1	95.3	376.95	NA	2
Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Coffea eugenioides	2	98.8	547.6	Illumina HiSeq; PacBio RS; 10x Chromium	2
NA	NA	NA	NA	Galium porrigens	NA	72.7	NA	NA	NA
Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Gardenia jasminoides	1	94.7	151.69	Oxford Nanopore, Hi-C	NA
Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Ophiorrhiza pumila	1	NA	121.32	PacBio RS II; PacBio Sequel	NA
Streptophyta	Magnoliopsida	Icacinales	Icacinaceae	Nothapodytes nimmoniana	1	0	0.45	454 GS junior+ system	NA
Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Andrographis paniculata	2	96.3	86.86	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Avicennia marina	4	94.9	131.5	Illumina NextSeq; PacBio Sequel	NA
Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia speciosa	1	45.6	252.16	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Lamiales	Bignoniaceae	Handroanthus guayacan	1	86.7	212.64	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Lamiales	Bignoniaceae	Handroanthus impetiginosus	1	85.4	405.24	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Lamiales	Bignoniaceae	Jacaranda copaia	1	95.4	391.17	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Lamiales	Gesneriaceae	Dorcoceras hygrometricum	1	83.9	1110.01	Illumina HiSeq; 454	NA
Streptophyta	Magnoliopsida	Lamiales	Gesneriaceae	Primulina huaijiensis	1	94.2	131.9	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha longifolia	1	51.8	132.34	PacBioSMRT; Illumina; Hi-C	2
Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Ocimum tenuiflorum	2	70	109.66	Illumina HiSeq	NA
NA	NA	NA	NA	Perilla citriodora	NA	96.1	NA	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Pogostemon cablin	1	NA	561.02	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Pogostemon cablin	1	91.8	561.02	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Salvia miltiorrhiza	1	96.5	167.96	Illumina; PacBio	NA
Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Salvia splendens	2	97.59	718.33	PacBio; Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Scutellaria baicalensis	1	96.5	108.42	Illumina HiSeq X Ten; PacBio Sequel system	NA
NA	NA	NA	NA	Tectona grandis	NA	92.3	NA	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Lentibulariaceae	Genlisea aurea	1	73	70.31	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Lamiales	Lentibulariaceae	Utricularia gibba	1	91.6	26.75	PacBio	NA
Streptophyta	Magnoliopsida	Lamiales	Lentibulariaceae	Utricularia reniformis	1	89.5	93.72	Illumina MiSeq	NA
Streptophyta	Magnoliopsida	Lamiales	Linderniaceae	Lindernia brevidens	1	96.5	81.05	PacBio Sequel	NA
NA	NA	NA	NA	Lindernia subracemosa	NA	96.5	NA	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Forsythia suspensa	2	93.7	231.94	Nanopore; ONT; Promethion	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus albicans	1	78.8	235.16	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus americana	1	68	214.39	NA	NA
NA	NA	NA	NA	Fraxinus angustifolia	NA	63.5	NA	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus anomala	1	81.7	214.91	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus baroniana	1	73.4	236.14	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus cuspidata	1	86.5	203.48	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus dipetala	1	62	193.04	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus excelsior	2	88.1	236.57	NA	2
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus floribunda	1	74.6	234.64	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus gooddingii	1	86.8	279.76	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus greggii	1	67.3	230.21	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus griffithii	1	72.8	243.94	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus latifolia	1	60.8	237.19	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus mandshurica	1	87.5	241.63	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus nigra	1	68.3	202.13	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus ornus	1	87	250.45	NA	2
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus paxiana	1	56.4	207.73	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus pennsylvanica	4	84	273.07	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus platypoda	1	78.7	201.07	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus quadrangulata	1	94.4	210.67	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus sieboldiana	1	51.4	247.93	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus velutina	1	59.6	215.16	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus xanthoxyloides	1	65.3	205.47	NA	NA
NA	NA	NA	NA	Olea europaea	NA	93.5	NA	NA	NA
Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Euphrasia arctica	1	79.3	164.03	Illumina HiSeq; PacBio RSII	NA
Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Phtheirospermum japonicum	1	91	880.27	illumina HiSeq2000; PacBio RS	NA
Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Rehmannia glutinosa	1	54.9	784.36	Illumina; Nanopore	NA
Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Striga asiatica	1	93.2	390.1	illumina HiSeq2000; ABI 3730x1	NA
Streptophyta	Magnoliopsida	Lamiales	Pedaliaceae	Sesamum indicum	5	98.5	265.79	Illumina Hiseq 2000	2
Streptophyta	Magnoliopsida	Lamiales	Phrymaceae	Erythranthe guttata	2	97.85	272.29	ABI3730	NA
Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Penstemon barbatus	1	93	210.34	Illumina; PacBio	NA
Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Penstemon centranthifolius	1	0	1.49	454	NA
Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Penstemon grinnellii	1	0	1.22	454	NA
Streptophyta	Magnoliopsida	Laurales	Calycanthaceae	Chimonanthus praecox	1	NA	207.12	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Laurales	Calycanthaceae	Chimonanthus salicifolius	1	88.2	239.16	PacBio; Illumina; 10X Genomics; Hi-C	NA
NA	NA	NA	NA	Cinnamomum micranthum	NA	91.3	NA	NA	NA
Streptophyta	Magnoliopsida	Laurales	Lauraceae	Litsea cubeba	1	83.4	367.53	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Laurales	Lauraceae	Persea americana	4	81.4	285.69	PacBio	2
Streptophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Liriodendron chinense	1	84.5	496.62	Illumina; PacBio; Bionano	NA
Streptophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia ashei	1	4.1	95.58	Illumina MiSeq	NA
Streptophyta	Magnoliopsida	Malpighiales	Calophyllaceae	Mesua ferrea	1	92.4	194.78	NA	NA
Streptophyta	Magnoliopsida	Malpighiales	Caryocaraceae	Caryocar brasiliense	1	70.3	67.93	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia esula	2	35.2	786.3	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Hevea brasiliensis	6	98.41	1424.53	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Jatropha curcas	6	99.31	259.55	Illumina GAII; Illumina HS	2
Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Manihot esculenta	9	99.53	528.67	PacBio RSII; Sequel	2
Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus communis	3	98.02	301.01	NA	NA
Streptophyta	Magnoliopsida	Malpighiales	Hypericaceae	Hypericum perforatum	1	89	111.71	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Malpighiales	Linaceae	Linum bienne	1	94.9	91.43	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Malpighiales	Linaceae	Linum usitatissimum	4	96.2	1305.32	Illumina	2
Streptophyta	Magnoliopsida	Malpighiales	Passifloraceae	Passiflora edulis	1	35.7	55.36	Illumina GAII	2
Streptophyta	Magnoliopsida	Malpighiales	Rafflesiaceae	Rafflesia leonardi	1	0.1	40.23	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Malpighiales	Rafflesiaceae	Sapria himalayana	1	NA	348.43	Illumina NovaSeq	NA
Streptophyta	Magnoliopsida	Malpighiales	Rhizophoraceae	Kandelia obovata	1	NA	55.08	PacBio	NA
Streptophyta	Magnoliopsida	Malpighiales	Rhizophoraceae	Rhizophora apiculata	2	95.5	72.22	NA	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus alba	2	98.24	648.14	PacBio RSII; Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus davidiana	1	88	129.4	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus deltoides	3	96.5	345.41	Oxford Nanopore GridION	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus euphratica	2	98.24	427.86	Illumina Hiseq2000	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus ilicifolia	1	96.8	123.59	Illumina	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus simonii	1	96.5	125.22	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus trichocarpa	3	98.75	396.14	Sanger; Illumina	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix brachista	1	96.6	280.32	Oxford Nanopore PromethION; Hi-C	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix dunnii	1	97.1	272.83	Oxford Nanopore PromethION	NA
Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix suchowensis	1	NA	303.41	PacBio RSII	NA
NA	NA	NA	NA	Viola pubescens	NA	79.5	NA	NA	NA
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Corchorus capsularis	1	95.5	296.44	454	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Corchorus olitorius	2	93.1	320.97	454	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Durio zibethinus	2	98.62	608.38	PacBio	NA
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypioides kirkii	2	96.8	2023.97	PacBio	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium arboreum	3	99.36	1206.11	Illumina Hiseq2000	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium aridum	1	89.1	622.79	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium armourianum	1	89.8	638.45	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium australe	1	95	1244.89	PacBio Sequel	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium barbadense	4	97	1647.03	PacBio Sequel	4
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium darwinii	1	97.3	1629.75	PacBio Sequel	4
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium davidsonii	1	94.2	607.58	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium gossypioides	1	95.1	577.19	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium harknessii	1	90.1	622.37	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium hirsutum	9	99.79	1808.06	PacBio RSII	4
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium klotzschianum	1	92	581.9	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium klotzschianum	1	94	581.9	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium lobatum	1	91.5	627.16	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium longicalyx	1	92.8	336.02	PacBio Sequel; Oxford Nanopore MinION	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium mustelinum	2	97.2	1709.35	PacBio Sequel	4
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium raimondii	4	99.48	628.22	ABI3730	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium schwendimanii	1	95.5	624.54	Illumina HiSeq 2500	NA
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium thurberi	1	94.7	162.65	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium tomentosum	2	97	1644.57	PacBio Sequel	4
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium trilobum	1	94.2	562.77	Illumina HiSeq 2500	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium turneri	1	95.6	3085.53	PacBio Sequel	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Herrania umbratica	2	93.29	217.2	Illumina HiSeq; PacBio	NA
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus syriacus	3	95.8	2052.22	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Kokia drynarioides	1	97.7	164.54	Illumina HiSeq; Illumina MiSeq	2
Streptophyta	Magnoliopsida	Malvales	Malvaceae	Theobroma cacao	4	99.79	279.43	NA	2
Streptophyta	Magnoliopsida	Malvales	Thymelaeaceae	Aquilaria agallochum	1	95.1	201.54	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Malvales	Thymelaeaceae	Aquilaria sinensis	2	95.7	240.12	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Myrtales	Lythraceae	Punica granatum	6	98.32	289.33	PacBio RSII	2
Streptophyta	Magnoliopsida	Myrtales	Lythraceae	Sonneratia alba	2	96	64.42	NA	NA
Streptophyta	Magnoliopsida	Myrtales	Lythraceae	Sonneratia caseolaris	1	96.2	65.2	NA	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Angophora floribunda	1	96.3	111.12	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia calophylla	1	96.6	112.89	Oxford Nanopore MinION	NA
NA	NA	NA	NA	Corymbia citriodora	NA	96.5	NA	NA	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia maculata	1	96.9	115.71	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus albens	1	NA	173.21	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus brandiana	1	97.1	144.48	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus caleyi	1	95	168.45	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus camaldulensis	4	95.7	212.22	454 GS FLX; ABI 3730xl	2
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus cloeziana	1	95.5	137.6	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus coolabah	1	93.1	173.52	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus dawsonii	1	95.6	202.89	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus decipiens	1	NA	168.84	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus erythrocorys	1	96.1	154.48	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus globulus	1	94.8	155.81	Oxford Nanopore MinION	2
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus grandis	4	98.88	560.56	ABI 3739	2
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus guilfoylei	1	96.5	135.1	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus marginata	1	94	146.12	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus melliodora	1	98.3	178.88	Oxford Nanopore MinION; Oxford Nanopore PromethION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus microcorys	1	95.6	126.55	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus pauciflora	1	97.2	183.61	Illumina HiSeq; Oxford Nanopore	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus pumila	1	96	151.76	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus regnans	1	95.8	140.72	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus salubris	1	96	144.62	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus sideroxylon	1	NA	168.77	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus tenuipes	1	95.8	114.93	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus victrix	1	95.3	159.33	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus viminalis	1	95.5	160.01	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus virginea	1	95.7	152.31	Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia uniflora	1	0.3	1.02	IonTorrent	2
NA	NA	NA	NA	Metrosideros polymorpha	NA	97.1	NA	NA	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Psidium guajava	3	95.7	124.08	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Rhodamnia argentea	2	94.6	99.52	Oxford Nanopore MinION; Illumina NovaSeq; Illumina NextSeq	NA
Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Syzygium oleosum	3	96.13	365.34	NA	NA
Streptophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Nymphaea colorata	3	97.03	348.96	PacBio RSII; Hi-C	2
Streptophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Nymphaea thermarum	1	83.5	313.37	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Oxalidales	Cephalotaceae	Cephalotus follicularis	1	92.5	1211.73	Illumina HiSeq 2000; PacBio RS	2
Streptophyta	Magnoliopsida	Oxalidales	Elaeocarpaceae	Aristotelia chilensis	2	26.9	112.87	Illumina MiSeq	NA
Streptophyta	Magnoliopsida	Pandanales	Velloziaceae	Xerophyta viscosa	1	89.9	93.67	PacBio	NA
Streptophyta	Magnoliopsida	Poales	Bromeliaceae	Ananas comosus	4	93.85	335.28	Illumina HiSeq; PacBio; 454	NA
Streptophyta	Magnoliopsida	Poales	Cyperaceae	Carex littledalei	1	87	292.78	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops tauschii	6	92.5	1176.42	Illumina HiSeq; PacBio	NA
Streptophyta	Magnoliopsida	Poales	Poaceae	Alloteropsis semialata	1	82.7	203.75	Illumina HiSeq; PacBio	NA
Streptophyta	Magnoliopsida	Poales	Poaceae	Brachypodium distachyon	7	99.26	276.02	ABI 3739	2
Streptophyta	Magnoliopsida	Poales	Poaceae	Cenchrus americanus	7	86.5	547.1	PacBio	NA
Streptophyta	Magnoliopsida	Poales	Poaceae	Chrysopogon serrulatus	1	90	590.11	Oxford Nanopore MinION; Illumina NovaSeq	NA
